"focal_spp","other_spp","rel_fit","tot_hoi","expected_fitness_tot"
"a","o",0.884109916367981,NA,NA
"a","p",0.462148365374172,NA,NA
"a","op",0.336700336700337,-0.0248281063719528,0.36152844307229
"a","ps",0.618008037362876,0.222796820091305,0.395211217271571
"a","ops",0.704898446833931,0.393906237739488,0.310992209094443
"a","psv",0.580536548278484,0.30238202585861,0.278154522419874
"a","opsv",0.286195286195286,0.0673151390320422,0.218880147163244
"a","pv",0.387748452264581,0.0643938199514777,0.323354632313104
"a","opv",0.0653714565004888,-0.189076714576782,0.254448171077271
"a","s",0.91452155968285,NA,NA
"a","os",1.08260019550342,0.40569587655956,0.676904318943861
"a","sv",0.700010861301184,0.0945809114383516,0.605429949862832
"a","osv",0.581622678396872,0.105209081486237,0.476413596910635
"a","v",0.701640056478766,NA,NA
"a","ov",0.280764635603345,-0.273066170805268,0.553830806408614
"o","a",1.0022792022792,NA,NA
"o","av",0.610826210826211,-0.144676747753671,0.755502958579882
"o","p",0.45014245014245,NA,NA
"o","ap",0.403988603988604,0.0262371246986631,0.377751479289941
"o","apv",0.333333333333333,0.00788590502199967,0.325447428311334
"o","ps",0.43019943019943,-0.000569800569800585,0.430769230769231
"o","aps",0.388034188034188,0.0102827087442472,0.377751479289941
"o","apsv",0.315384615384615,-0.0100628129267183,0.325447428311334
"o","psv",0.298005698005698,-0.0731185623493316,0.37112426035503
"o","pv",0.287179487179487,-0.0839447731755424,0.37112426035503
"o","s",0.935042735042735,NA,NA
"o","as",0.492307692307692,-0.384615384615385,0.876923076923077
"o","asv",0.36025641025641,-0.395246548323471,0.755502958579882
"o","sv",0.536752136752137,-0.324786324786325,0.861538461538462
"o","v",0.834188034188034,NA,NA
"p","a",0.762936221419976,NA,NA
"p","ao",0.521058965102286,0.0987935895597927,0.422265375542494
"p","av",0.685920577617329,0.15105110193017,0.534869475687159
"p","aov",0.438628158844765,0.0910595464848789,0.347568612359887
"p","o",0.7352587244284,NA,NA
"p","s",0.86101083032491,NA,NA
"p","as",0.344163658243081,-0.120328254853662,0.464491913096743
"p","aos",0.182912154031288,-0.118923746175982,0.30183590020727
"p","asv",0.239470517448857,-0.142854956147018,0.382325473595875
"p","aosv",0.308664259927798,0.0602217139088176,0.24844254601898
"p","os",0.412755716004813,-0.0517361970919295,0.464491913096743
"p","sv",0.332129963898917,-0.256226459356958,0.588356423255875
"p","osv",0.290012033694344,-0.092313439901531,0.382325473595875
"p","v",0.765342960288809,NA,NA
"p","ov",0.461642599277978,-0.0732268764091803,0.534869475687159
"s","a",0.957113280094647,NA,NA
"s","ao",0.455634427684117,-0.34168930872376,0.797323736407877
"s","av",0.368530020703934,-0.22342245026555,0.591952470969484
"s","aov",0.165483584738243,-0.31984390698829,0.485327491726534
"s","o",0.782608695652174,NA,NA
"s","p",0.659568175096125,NA,NA
"s","ap",0.552499260573795,-0.0972678103300269,0.649767070903822
"s","aop",0.413289953662624,-0.119438328072186,0.53272828173481
"s","apv",0.453909099871833,0.0583987088868979,0.395510390984935
"s","aopv",0.208222419402544,-0.116046969479515,0.324269388882058
"s","op",0.592329685497387,0.0445333592974502,0.547796326199937
"s","pv",0.548950014788524,0.142252742306753,0.406697272481772
"s","opv",0.273489105787242,-0.059952136247502,0.333441242034744
"s","v",0.62111801242236,NA,NA
"s","ov",0.174307404121069,-0.32474741629481,0.499054820415879
"v","a",1.11278195488722,NA,NA
"v","ao",0.43609022556391,-0.504663915427667,0.940754140991577
"v","o",1.32832080200501,NA,NA
"v","p",1.52380952380952,NA,NA
"v","ap",1.13533834586466,-0.221097857425519,1.35643620329018
"v","aop",0.893796992481203,-0.421844137025814,1.31564112950702
"v","op",1.27443609022556,-0.0820001130646165,1.35643620329018
"v","ps",2.08270676691729,0.805133133585844,1.27757363333145
"v","aps",1.39598997493734,0.156839608773757,1.23915036616359
"v","aops",1.17543859649123,-0.0264440894869868,1.20188268597822
"v","ops",1.64411027568922,0.404959909525637,1.23915036616359
"v","s",0.916353383458647,NA,NA
"v","as",0.80952380952381,-0.0765353232705825,0.886059132794392
"v","aos",0.668233082706767,-0.191177655116365,0.859410737823132
"v","os",1.06766917293233,0.181610040137939,0.886059132794392
