"focal_spp","other_spp","inv_fit","inv_count"
"a","o",2.06440898571894,91111111.1111111
"a","op",1.87000208879907,63777777.7777778
"a","ops",1.72064908203666,1.02e+08
"a","opv",1.12028212377148,5777777.77777778
"a","os",1.59367619323419,9.2e+07
"a","ov",1.2347487375189,6222222.22222222
"a","osv",1.49600749549502,48222222.2222222
"a","p",2.1893856781972,50444444.4444444
"a","ps",1.38477324168017,38666666.6666667
"a","opsv",1.20477427313995,10222222.2222222
"a","pv",1.40758340915242,7888888.88888889
"a","psv",1.19672143174187,2.3e+07
"a","s",1.56498707371915,176888888.888889
"a","v",3.73805456561033,166888888.888889
"a","sv",1.52920684881904,56444444.4444444
"o","a",1.95840445692258,153777777.777778
"o","ap",1.92541558441186,51333333.3333333
"o","aps",1.31422901857658,36222222.2222222
"o","apv",1.9633810791589,6.2e+07
"o","as",1.56122836806705,99555555.5555556
"o","av",2.87626469522368,79555555.5555556
"o","asv",1.66865316305563,90444444.4444444
"o","p",1.85122829093469,6.8e+07
"o","ps",1.36193307353651,36666666.6666667
"o","apsv",1.74574006525906,84666666.6666667
"o","pv",1.82669014212601,47555555.5555556
"o","psv",1.43714155867926,57111111.1111111
"o","s",1.74682292701278,197555555.555556
"o","v",3.11629425642333,190888888.888889
"o","sv",1.84180884042993,123111111.111111
"p","a",2.11686709051199,85333333.3333333
"p","ao",1.81211588992475,63111111.1111111
"p","aos",1.33114660185539,32222222.2222222
"p","aov",1.51969434172428,35333333.3333333
"p","as",1.47511945764419,52222222.2222222
"p","av",2.14283973770489,5.5e+07
"p","asv",1.47753734815718,80666666.6666667
"p","o",1.73338841683936,49333333.3333333
"p","os",1.43678065143146,55111111.1111111
"p","ov",1.77917215964993,5.2e+07
"p","osv",1.31673524002693,20888888.8888889
"p","s",1.6178265284447,112444444.444444
"p","aosv",1.44305361742154,31333333.3333333
"p","v",1.94494789305392,67333333.3333333
"p","sv",1.35449946895072,33444444.4444444
"s","a",2.61399313196389,5.18e+08
"s","ao",1.84907648502805,175777777.777778
"s","aop",2.10360670112589,260888888.888889
"s","aov",1.39367152975458,74444444.4444444
"s","o",2.24564147339694,508888888.888889
"s","p",2.73766454910772,583222222.222222
"s","ap",2.31120379373523,466666666.666667
"s","aopv",1.43966223464741,41444444.4444444
"s","op",2.2557624574006,445777777.777778
"s","apv",2.42802135030006,282222222.222222
"s","opv",2.14790607507787,203555555.555556
"s","v",4.33961307405193,329555555.555556
"s","av",2.22515970172455,341111111.111111
"s","ov",1.94581033972294,184222222.222222
"s","pv",2.68987155247595,386888888.888889
"v","a",1.67273864271693,7.6e+07
"v","ao",1.53750017371402,30222222.2222222
"v","aos",1.38063067598778,37777777.7777778
"v","aop",1.76994791623514,65333333.3333333
"v","as",1.36225181728404,32444444.4444444
"v","o",2.31972534194014,172666666.666667
"v","os",1.53644834552163,40222222.2222222
"v","p",2.21978075426961,99333333.3333333
"v","ap",1.88877753179987,47777777.7777778
"v","aps",1.2441704472926,17111111.1111111
"v","op",2.06126101335573,122222222.222222
"v","ops",1.56342911251275,44333333.3333333
"v","ps",1.55933097587176,89333333.3333333
"v","aops",1.503620221813,33555555.5555556
"v","s",1.38107508916382,31555555.5555556
