"focal_spp","other_spp","intra_effect","inter_effect","fresh_gr_rate"
"a","o",0.368365593903055,0.849953712040073,5.16098702453147
"a","p",0.368365593903055,0.744228679561004,5.16098702453147
"a","op",0.368365593903055,0.632559928799557,5.16098702453147
"a","ps",0.368365593903055,0.505604603490027,5.16098702453147
"a","ops",0.368365593903055,0.429740509560898,5.16098702453147
"a","psv",0.368365593903055,0.368172608714897,5.16098702453147
"a","opsv",0.368365593903055,0.312929675448704,5.16098702453147
"a","pv",0.368365593903055,0.541934572080736,5.16098702453147
"a","opv",0.368365593903055,0.46061930122287,5.16098702453147
"a","s",0.368365593903055,0.67936726623901,5.16098702453147
"a","os",0.368365593903055,0.577430729778363,5.16098702453147
"a","sv",0.368365593903055,0.494703602301473,5.16098702453147
"a","osv",0.368365593903055,0.420475163135733,5.16098702453147
"a","v",0.368365593903055,0.728182864976939,5.16098702453147
"a","ov",0.368365593903055,0.618921729131124,5.16098702453147
"o","a",0.682368360566935,0.909059519341678,4.11762991364202
"o","av",0.682368360566935,0.862389016295068,4.11762991364202
"o","p",0.682368360566935,0.863754305421443,4.11762991364202
"o","ap",0.682368360566935,0.785204073715722,4.11762991364202
"o","apv",0.682368360566935,0.744892225773027,4.11762991364202
"o","ps",0.682368360566935,0.612090977400683,4.11762991364202
"o","aps",0.682368360566935,0.556427129709242,4.11762991364202
"o","apsv",0.682368360566935,0.527860535883661,4.11762991364202
"o","psv",0.682368360566935,0.580666639150236,4.11762991364202
"o","pv",0.682368360566935,0.819409741523265,4.11762991364202
"o","s",0.682368360566935,0.708640146345819,4.11762991364202
"o","as",0.682368360566935,0.644196070823347,4.11762991364202
"o","asv",0.682368360566935,0.611123478714364,4.11762991364202
"o","sv",0.682368360566935,0.672259038832712,4.11762991364202
"o","v",0.682368360566935,0.948660673967302,4.11762991364202
"p","a",0.817666064281726,0.859750692037298,3.83657863241822
"p","ao",0.817666064281726,0.762043358104498,3.83657863241822
"p","av",0.817666064281726,0.736996364621591,3.83657863241822
"p","aov",0.817666064281726,0.653239584229006,3.83657863241822
"p","o",0.817666064281726,0.886353875794773,3.83657863241822
"p","s",0.817666064281726,0.312676155616515,3.83657863241822
"p","as",0.817666064281726,0.268823541174861,3.83657863241822
"p","aos",0.817666064281726,0.238272787625214,3.83657863241822
"p","asv",0.817666064281726,0.230441189993227,3.83657863241822
"p","aosv",0.817666064281726,0.204252441893256,3.83657863241822
"p","os",0.817666064281726,0.277141722399308,3.83657863241822
"p","sv",0.817666064281726,0.268032572846396,3.83657863241822
"p","osv",0.817666064281726,0.237571709781648,3.83657863241822
"p","v",0.817666064281726,0.857221019357573,3.83657863241822
"p","ov",0.817666064281726,0.759801172920331,3.83657863241822
"s","a",0.356594112954822,0.973297477329721,5.05115440702965
"s","ao",0.356594112954822,0.993796140912513,5.05115440702965
"s","av",0.356594112954822,0.933454101354795,5.05115440702965
"s","aov",0.356594112954822,0.953113621737141,5.05115440702965
"s","o",0.356594112954822,1.02106104665865,5.05115440702965
"s","p",0.356594112954822,0.961239360579716,5.05115440702965
"s","ap",0.356594112954822,0.935571844762272,5.05115440702965
"s","aop",0.356594112954822,0.955275967037334,5.05115440702965
"s","apv",0.356594112954822,0.897272823516797,5.05115440702965
"s","aopv",0.356594112954822,0.916170328318428,5.05115440702965
"s","op",0.356594112954822,0.981484067603021,5.05115440702965
"s","pv",0.356594112954822,0.921889601500355,5.05115440702965
"s","opv",0.356594112954822,0.941305561411683,5.05115440702965
"s","v",0.356594112954822,0.95906351665039,5.05115440702965
"s","ov",0.356594112954822,0.979262398123178,5.05115440702965
"v","a",0.0227329512412883,1.03128877466409,2.34601200192335
"v","ao",0.0227329512412883,1.20316462843537,2.34601200192335
"v","o",0.0227329512412883,1.1666612281582,2.34601200192335
"v","p",0.0227329512412883,1.16169441410884,2.34601200192335
"v","ap",0.0227329512412883,1.19804240886042,2.34601200192335
"v","aop",0.0227329512412883,1.39770962810671,2.34601200192335
"v","op",0.0227329512412883,1.35530383190874,2.34601200192335
"v","ps",0.0227329512412883,0.729524458898266,2.34601200192335
"v","aps",0.0227329512412883,0.752350385304673,2.34601200192335
"v","aops",0.0227329512412883,0.877738024524846,2.34601200192335
"v","ops",0.0227329512412883,0.8511079011897,2.34601200192335
"v","s",0.0227329512412883,0.627983099546794,2.34601200192335
"v","as",0.0227329512412883,0.647631921241367,2.34601200192335
"v","aos",0.0227329512412883,0.75556705262991,2.34601200192335
"v","os",0.0227329512412883,0.732643534179858,2.34601200192335
